pokedex_number,name,generation,type1,type2,against_normal,against_grass,against_fire,against_water,against_electric,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,hp,attack,defense,sp_attack,sp_defense,speed,height_m,weight_kg,is_legendary,base_egg_steps,capture_rate,experience_growth
8,Wartortle,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,59,63,80,65,80,58,1.0,22.5,0,5120,45,1059860
9,Blastoise,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,79,83,100,85,105,78,1.6,85.5,0,5120,45,1059860
9,Mega Blastoise,6,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,79,103,120,135,115,78,1.6,101.1,0,5120,45,1059860
10,Caterpie,1,bug,,1,0.5,2,1,1,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,45,30,35,20,20,45,0.3,2.9,0,3840,255,1000000
11,Metapod,1,bug,,1,0.5,2,1,1,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,50,20,55,25,25,30,0.7,9.9,0,3840,120,1000000
12,Butterfree,1,bug,flying,1,0.25,2,1,2,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,60,45,50,90,80,70,1.1,32.0,0,3840,45,1000000
13,Weedle,1,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,40,35,30,20,20,50,0.3,3.2,0,3840,255,1000000
14,Kakuna,1,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,45,25,50,25,25,35,0.6,10.0,0,3840,120,1000000
15,Beedrill,1,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,65,90,40,45,80,75,1.0,29.5,0,3840,45,1000000
15,Mega Beedrill,6,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,65,150,40,15,80,145,1.4,40.5,0,3840,45,1000000
16,Pidgey,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,40,45,40,35,35,56,0.3,1.8,0,3840,255,1059860
17,Pidgeotto,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,63,60,55,50,50,71,1.1,30.0,0,3840,120,1059860
18,Pidgeot,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,83,80,75,70,70,101,1.5,39.5,0,3840,45,1059860
18,Mega Pidgeot,6,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,83,80,80,135,80,121,2.2,50.5,0,3840,45,1059860
19,Rattata,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,30,56,35,25,35,72,0.3,3.5,0,3840,255,1000000
19,Alolan Rattata,7,dark,normal,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,30,56,35,25,35,72,0.3,3.8,0,3840,255,1000000
20,Raticate,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,55,81,60,50,70,97,0.7,18.5,0,3840,127,1000000
20,Alolan Raticate,7,dark,normal,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,75,71,70,40,80,77,0.7,25.5,0,3840,127,1000000
21,Spearow,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,40,60,30,31,31,70,0.3,2.0,0,3840,255,1000000
22,Fearow,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,65,90,65,61,61,100,1.2,38.0,0,3840,90,1000000
23,Ekans,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,35,60,44,40,54,55,2.0,6.9,0,5120,255,1000000
24,Arbok,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,60,95,69,65,79,80,3.5,65.0,0,5120,90,1000000
25,Pikachu,1,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,35,55,40,50,50,90,0.4,6.0,0,2560,190,1000000
26,Raichu,1,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,60,90,55,90,80,110,0.8,30.0,0,2560,75,1000000
26,Alolan Raichu,7,electric,psychic,1,1,1,1,0.5,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1,60,85,50,95,85,110,0.7,21.0,0,2560,75,1000000
27,Sandshrew,1,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,50,75,85,20,30,40,0.6,12.0,0,5120,255,1000000
27,Alolan Sandshrew,7,ice,steel,0.5,0.5,4,1,1,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,50,75,90,10,35,40,0.7,40.0,0,5120,255,1000000
28,Sandslash,1,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,75,100,110,45,55,65,1.0,29.5,0,5120,90,1000000
28,Alolan Sandslash,7,ice,steel,0.5,0.5,4,1,1,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,75,100,120,25,65,65,1.2,55.0,0,5120,90,1000000
29,Nidoran♀,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,55,47,52,40,40,41,0.4,7.0,0,5120,235,1059860
30,Nidorina,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,70,62,67,55,55,56,0.8,20.0,0,5120,120,1059860
31,Nidoqueen,1,poison,ground,1,1,1,2,0,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,90,92,87,75,85,76,1.3,60.0,0,5120,45,1059860
32,Nidoran♂,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,46,57,40,40,40,50,0.5,9.0,0,5120,235,1059860
33,Nidorino,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,61,72,57,55,55,65,0.9,19.5,0,5120,120,1059860
34,Nidoking,1,poison,ground,1,1,1,2,0,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,81,102,77,85,75,85,1.4,62.0,0,5120,45,1059860
35,Clefairy,1,fairy,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,70,45,48,60,65,35,0.6,7.5,0,2560,150,800000
36,Clefable,1,fairy,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,95,70,73,95,90,60,1.3,40.0,0,2560,25,800000
37,Vulpix,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,38,41,40,50,65,65,0.6,9.9,0,5120,190,1000000
37,Alolan Vulpix,7,ice,,1,1,2,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,38,41,40,50,65,65,0.6,9.9,0,5120,190,1000000
38,Ninetales,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,73,76,75,81,100,100,1.1,19.9,0,5120,75,1000000
38,Alolan Ninetales,7,ice,,1,1,2,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,73,67,75,81,100,109,1.1,19.9,0,5120,75,1000000
39,Jigglypuff,1,normal,fairy,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,115,45,20,45,25,20,0.5,5.5,0,2560,170,800000
40,Wigglytuff,1,normal,fairy,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,140,70,45,85,50,45,1.0,12.0,0,2560,50,800000
41,Zubat,1,poison,flying,1,0.25,1,1,2,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,40,45,35,30,40,55,0.8,7.5,0,3840,255,1000000
42,Golbat,1,poison,flying,1,0.25,1,1,2,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,75,80,70,65,75,90,1.6,55.0,0,3840,90,1000000
43,Oddish,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,45,50,55,75,65,30,0.5,5.4,0,5120,255,1059860
44,Gloom,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,60,65,70,85,75,40,0.8,8.6,0,5120,120,1059860
45,Vileplume,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,75,80,85,110,90,50,1.2,18.6,0,5120,45,1059860
46,Paras,1,bug,grass,1,0.25,4,0.5,0.5,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,35,70,55,45,55,25,0.3,5.4,0,5120,190,1000000
47,Parasect,1,bug,grass,1,0.25,4,0.5,0.5,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,60,95,80,60,80,30,1.0,29.5,0,5120,75,1000000
48,Venonat,1,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,60,55,50,40,55,45,1.0,30.0,0,5120,190,1000000
49,Venomoth,1,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,70,65,60,90,75,90,1.5,12.5,0,5120,75,1000000
50,Diglett,1,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,10,55,25,35,45,95,0.2,0.8,0,5120,255,1000000
50,Alolan Diglett,7,ground,steel,0.5,1,2,2,0,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,10,55,30,35,45,90,0.2,1.0,0,5120,255,1000000
51,Dugtrio,1,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,35,100,50,50,70,120,0.7,33.3,0,5120,50,1000000
51,Alolan Dugtrio,7,ground,steel,0.5,1,2,2,0,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,35,100,60,50,70,110,0.7,66.6,0,5120,50,1000000
52,Meowth,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,40,45,35,40,40,90,0.4,4.2,0,5120,255,1000000
52,Alolan Meowth,7,dark,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,40,35,35,50,40,90,0.4,4.2,0,5120,255,1000000
52,Galarian Meowth,8,steel,,0.5,0.5,2,1,1,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,50,65,55,40,40,40,0.4,7.5,0,5120,255,1000000
53,Persian,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,65,70,60,65,65,115,1.0,32.0,0,5120,90,1000000
53,Alolan Persian,7,dark,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,65,60,60,75,65,115,1.1,33.0,0,5120,90,1000000
54,Psyduck,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,50,52,48,65,50,55,0.8,19.6,0,5120,190,1000000
55,Golduck,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,80,82,78,95,80,85,1.7,76.6,0,5120,75,1000000
56,Mankey,1,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,40,80,35,35,45,70,0.5,28.0,0,5120,190,1000000
57,Primeape,1,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,65,105,60,60,70,95,1.0,32.0,0,5120,75,1000000
58,Growlithe,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,55,70,45,70,50,60,0.7,19.0,0,5120,190,1250000
58,Hisuian Growlithe,8,fire,rock,0.5,1,0.25,4,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,60,75,45,65,60,55,0.8,22.7,0,5120,190,1250000
59,Arcanine,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,90,110,80,100,80,95,1.9,155.0,0,5120,75,1250000
59,Hisuian Arcanine,8,fire,rock,05,1,0.25,4,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,95,115,80,95,80,90,2.0,168.0,0,5120,75,1250000
60,Poliwag,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,40,50,40,40,40,90,0.6,12.4,0,5120,255,1059860
61,Poliwhirl,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,65,65,65,50,50,90,1.0,20.0,0,5120,120,1059860
62,Poliwrath,1,water,fighting,1,2,0.5,0.5,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,90,95,95,70,90,70,1.3,54.0,0,5120,45,1059860
63,Abra,1,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,25,20,15,105,55,90,0.9,19.5,0,5120,200,1059860
64,Kadabra,1,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,40,35,30,120,70,105,1.3,56.5,0,5120,100,1059860
65,Alakazam,1,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,55,50,45,135,85,120,1.5,48.0,0,5120,50,1059860
65,Mega Alakazam,6,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,55,50,65,175,105,150,1.2,48.0,0,5120,50,1059860
66,Machop,1,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,70,80,50,35,35,35,0.8,19.5,0,5120,180,1059860
67,Machoke,1,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,80,100,70,50,60,45,1.5,70.5,0,5120,90,1059860
68,Machamp,1,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,90,130,80,65,85,55,1.6,130.0,0,5120,45,1059860
69,Bellsprout,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,50,75,35,70,30,40,0.7,4.0,0,5120,255,1059860
70,Weepinbell,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,65,90,50,85,45,55,1.0,6.4,0,5120,120,1059860
71,Victreebel,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,80,105,65,100,70,70,1.7,15.5,0,5120,45,1059860
72,Tentacool,1,water,poison,1,1,0.5,0.5,2,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,40,40,35,50,100,70,0.9,45.5,0,5120,190,1250000
73,Tentacruel,1,water,poison,1,1,0.5,0.5,2,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,80,70,65,80,120,100,1.6,55.0,0,5120,60,1250000
74,Geodude,1,rock,ground,0.5,4,0.5,4,0,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,40,80,100,30,30,20,0.4,20.0,0,3840,255,1059860
74,Alolan Geodude,7,rock,electric,0.5,2,0.5,2,0.5,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1,40,80,100,30,30,20,0.4,20.3,0,3840,255,1059860
75,Graveler,1,rock,ground,0.5,4,0.5,4,0,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,55,95,115,45,45,35,1.0,105.0,0,3840,120,1059860
75,Alolan Graveler,7,rock,electric,0.5,2,0.5,2,0.5,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1,55,95,115,45,45,35,1.0,110.0,0,3840,120,1059860
76,Golem,1,rock,ground,0.5,4,0.5,4,0,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,80,120,130,55,65,45,1.4,300.0,0,3840,45,1059860
76,Alolan Golem,7,rock,electric,0.5,2,0.5,2,0.5,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1,80,120,130,55,65,45,1.7,316.0,0,3840,45,1059860
77,Ponyta,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,50,85,55,65,65,90,1.0,30.0,0,5120,190,1000000
77,Galarian Ponyta,8,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,50,85,55,65,65,90,0.8,24.0,0,5120,190,1000000
78,Rapidash,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,65,100,70,80,80,105,1.7,95.0,0,5120,60,1000000
78,Galarian Rapidash,8,psychic,fairy,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,65,100,70,80,80,105,1.7,80.0,0,5120,60,1000000
79,Slowpoke,1,water,psychic,1,2,0.5,0.5,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,90,65,65,40,40,15,1.2,36.0,0,5120,190,1000000
79,Galarian Slowpoke,8,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,90,65,65,40,40,15,1.2,36.0,0,5120,190,1000000
80,Slowbro,1,water,psychic,1,2,0.5,0.5,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,95,75,110,100,80,30,1.6,78.5,0,5120,75,1000000
80,Mega Slowbro,6,water,psychic,1,2,0.5,0.5,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,95,75,180,130,80,30,2.0,120.0,0,5120,75,1000000
80,Galarian Slowbro,8,poison,psychic,1,0.5,1,1,1,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5,95,100,95,100,70,30,1.6,70.5,0,5120,75,1000000
81,Magnemite,1,electric,steel,0.5,0.5,2,1,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,25,35,70,95,55,45,0.3,6.0,0,5120,190,1000000
82,Magneton,1,electric,steel,0.5,0.5,2,1,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,50,60,95,120,70,70,1.0,60.0,0,5120,60,1000000
83,Farfetch'd,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,52,90,55,58,62,60,0.8,15.0,0,5120,45,1000000
83,Galarian Farfetch'd,8,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,52,95,55,58,62,55,0.8,42.0,0,5120,45,1000000
84,Doduo,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,35,85,45,35,35,75,1.4,39.2,0,5120,190,1000000
85,Dodrio,1,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,60,110,70,60,60,110,1.8,85.2,0,5120,45,1000000
86,Seel,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,65,45,55,45,70,45,1.1,90.0,0,5120,190,1000000
87,Dewgong,1,water,ice,1,2,1,0.5,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,90,70,80,70,95,70,1.7,120.0,0,5120,75,1000000
88,Grimer,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,80,80,50,40,50,25,0.9,30.0,0,5120,190,1000000
88,Alolan Grimer,7,poison,dark,1,0.5,1,1,1,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,80,80,50,40,50,25,0.7,42.0,0,5120,190,1000000
89,Muk,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,105,105,75,65,100,50,1.2,30.0,0,5120,75,1000000
89,Alolan Muk,7,poison,dark,1,0.5,1,1,1,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,105,105,75,65,100,50,1.0,52.0,0,5120,75,1000000
90,Shellder,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,30,65,100,45,25,40,0.3,4.0,0,5120,190,1250000
91,Cloyster,1,water,ice,1,2,1,0.5,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,50,95,180,85,45,70,1.5,132.5,0,5120,60,1250000
92,Gastly,1,ghost,poison,0,0.5,1,1,1,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,30,35,30,100,35,80,1.3,0.1,0,5120,190,1059860
93,Haunter,1,ghost,poison,0,0.5,1,1,1,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,45,50,45,115,55,95,1.6,0.1,0,5120,90,1059860
94,Gengar,1,ghost,poison,0,0.5,1,1,1,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,60,65,60,130,75,110,1.5,40.5,0,5120,45,1059860
94,Mega Gengar,6,ghost,poison,0,0.5,1,1,1,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,60,65,80,170,95,130,1.4,40.5,0,5120,45,1059860
95,Onix,1,rock,ground,0.5,4,0.5,4,0,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,35,45,160,30,45,70,8.8,210.0,0,6400,45,1000000
96,Drowzee,1,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,60,48,45,43,90,42,1.0,32.4,0,5120,190,1000000
97,Hypno,1,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,85,73,70,73,115,67,1.6,75.6,0,5120,75,1000000
98,Krabby,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,30,105,90,25,25,50,0.4,6.5,0,5120,225,1000000
99,Kingler,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,55,130,115,50,50,75,1.3,60.0,0,5120,60,1000000
100,Voltorb,1,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,40,30,50,55,55,100,0.5,10.4,0,5120,190,1000000
100,Hisuian Voltorb,8,electric,grass,1,0.5,2,0.5,0.25,2,1,2,1,1,1,2,1,1,1,1,0.5,1,40,30,50,55,55,100,0.5,13.0,0,5120,190,1000000
101,Electrode,1,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,60,50,70,80,80,150,1.2,66.6,0,5120,60,1000000
101,Hisuian Electrode,8,electric,grass,1,0.5,2,0.5,0.25,2,1,2,1,1,1,2,1,1,1,1,0.5,1,60,50,70,80,80,150,1.2,71.0,0,5120,60,1000000
102,Exeggcute,1,grass,psychic,1,0.5,2,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,60,40,80,60,45,40,0.4,2.5,0,5120,90,1250000
103,Exeggutor,1,grass,psychic,1,0.5,2,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,95,95,85,125,75,55,2.0,120.0,0,5120,45,1250000
103,Alolan Exeggutor,7,grass,dragon,1,0.25,1,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2,95,105,85,125,75,45,10.9,415.6,0,5120,45,1250000
104,Cubone,1,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,50,50,95,40,50,35,0.4,6.5,0,5120,190,1000000
105,Marowak,1,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,60,80,110,50,80,45,1.0,45.0,0,5120,75,1000000
105,Alolan Marowak,7,fire,ghost,0,0.5,0.5,2,1,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5,60,80,110,50,80,45,1.0,34.0,0,5120,75,1000000
106,Hitmonlee,1,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,50,120,53,35,110,87,1.5,49.8,0,6400,45,1000000
107,Hitmonchan,1,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,50,105,79,35,110,76,1.4,50.2,0,6400,45,1000000
108,Lickitung,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,90,55,75,60,75,30,1.2,65.5,0,5120,45,1000000
109,Koffing,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,40,65,95,60,45,35,0.6,1.0,0,5120,190,1000000
110,Weezing,1,poison,,1,0.5,1,1,1,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,65,90,120,85,70,60,1.2,9.5,0,5120,60,1000000
110,Galarian Weezing,8,poison,fairy,1,0.5,1,1,1,1,0.25,1,2,1,2,0.25,1,1,0,0.5,2,0.5,65,90,120,85,70,60,3.0,16.0,0,5120,60,1000000
111,Rhyhorn,1,ground,rock,0.5,4,0.5,4,0,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,80,85,95,30,30,25,1.0,115.0,0,5120,120,1250000
